strategy,alc_mean,alc_std,val_auc_mean,val_auc_std
entropy,0.9522851067495456,0.01733271659216492,0.9887079881938494,0.002105414024612345
badge,0.9500691412430916,0.014630404714964764,0.987946301056841,0.002571892759917877
dqn,0.9837969197009471,0.004735517052178568,0.9949462058459488,0.0012834258742531598
double,0.9833852459388019,0.005251325242340687,0.9951975626011617,0.000998318780336815
dueling,0.9827696395134268,0.004430363885342879,0.9950376083023897,0.0009294924028086575
