strategy,f1,recall,precision,alc,efficiency,final_auc,queries
random,0.8625698324022346,0.9897435897435898,0.7643564356435644,0.9351101499344859,0.0004655812624964295,0.9870894030277063,200
margin,0.8657047724750278,1.0,0.7632093933463796,0.9271718284571755,0.0004827192230791205,0.9905169951442445,200
entropy,0.8734321550741163,0.982051282051282,0.7864476386036962,0.9168831580999534,0.00045510806436256326,0.9849947634009331,200
bald,0.7692307692307693,1.0,0.625,0.9306583606497918,-1.713796058269157e-06,0.8936303913167666,200
badge,0.8502202643171806,0.9897435897435898,0.7451737451737451,0.9541219515512573,0.0004847186518137675,0.9909168808911739,200
DQN,0.0,0.0,0.0,0.985129872190712,0.0005022374559649628,0.994420641721413,200
Double DQN,0.0,0.0,0.0,0.986256081029003,0.0005124250214224507,0.9964581548129106,200
Dueling DQN,0.0,0.0,0.0,0.9827155959975155,0.0004920498905074743,0.9923831286299153,200
