strategy,alc,final_val_auc,final_test_auc,queries
random,0.9351101499344859,0.9870894030277063,0.9516326977865439,200
margin,0.9271718284571755,0.9905169951442445,0.9421542844619768,200
entropy,0.9168831580999534,0.9849947634009331,0.949364453210607,200
bald,0.9306583606497918,0.8936303913167666,0.9094345825115056,200
badge,0.9541219515512573,0.9909168808911739,0.9460552268244575,200
DQN,0.985129872190712,0.994420641721413,0.9561198772737234,200
Double DQN,0.986256081029003,0.9964581548129106,0.9321005917159764,200
Dueling DQN,0.9827155959975155,0.9923831286299153,0.9497041420118344,200
