condition,seed,alc
9dim_ece,42,0.9840285995384539
9dim_ece,123,0.9871973087054493
9dim_ece,456,0.9746575808272465
8dim_no_ece,42,0.9866296704342975
8dim_no_ece,123,0.9820409588190221
8dim_no_ece,456,0.9803452981687771
